order_id,customer_id,customer_name,customer_email,customer_phone,product_name,category,quantity,unit_price,discount_percent,order_date,ship_city,ship_state,ship_country,payment_method,order_status,rating,review_text
ORD129723,CUST072045,Richard Smith,richard.smith@yahoo.com,03142482428,Lipstick,BEAUTY,1,$212050.1,20,08/10/2024,Dubai,Dubai,U.A.E.,USSD,SHIPPED,3,Not what I expected
ORD132721,CUST013954,Aisha Abubakar,aisha.abubakar@outlook.com,-,Baby Wipes,BABY PRODUCTS,-3,"NGN 148,462.12",,01-07-2023,Ugep,Cross River,Nigeria,ussd,pending,1,Great product!
ORD120566,CUST071368,Sarah Balogun,sarah.balogun983@yahoo.com,(338) 560-6919,Baby Lotion,BABY PRODUCTS,10,232586.1,5,2025-08-25,Toronto,Ontario,CANADA,ussd,pending,,Not what I expected
ORD119444,CUST055008,musa johnson,musa.johnson491@ymail.com,0972-951-7949,Blender,Home & Kitchen,2,128782.61,30,09/16/2023,Enugu,Enugu,Nigeria ,ussd,cancelled,2,Great product!
ORD104015,CUST096577,Barbara Jackson,barbara.jackson@gmial.com,none,Laptop Sleeve,Electroincs,1,216969.79,0,14 Dec 2023,New York,NY,U.S.A.,Bank Transfer,shipped,,Great product!
ORD100279,CUST064682,  John Thompson  ,john.thompson@hotmail.com,?,Spaghetti Pack,Groceries ,9,116952.06,30%,1719446400,Lagos,Lagos,NG,bank transfer,Cancelled,1,meh
ORD119361,CUST072269,Aisha Williams,aisha.williams496@yaho.com,(439) 403-0903,Rice 5kg Bag,GROCERIES,2,229406.57,10,11-04-2025,Benin City,Edo,nigeria,ussd,shipped,,Not what I expected
ORD106083,CUST027353,ELIZABETH OKAFOR,elizabeth.okafor@ymail.com,4988015372,Milk Powder,Groceries ,8,195428.65,30,"June 27, 2024",New York,NY,USA,paypal,PENDING,,WILL BUY AGAIN
ORD110334,CUST007550,Joseph Chukwu,joseph.chukwu11@gmail.com,+2343010383113,Table Lamp,Home&Kitchen,5,174615.47,,--,Ibadan,Oyo,NIGERIA,bank transfer,SHIPPED,2,
ORD110483,CUST057692,Adaeze Jones,adaeze.jones@hotmail.com,05041571879,Laptop Sleeve,Electronics,1,145653.12,154,08/11/2025,Lagos,Lagos,Nigeria,bank transfer,cancelled,,Highly recommend!!!
ORD125531,CUST001132,"Okafor, Bola",bola.okafor@yahoo.com,+2344400106381,Leather Belt,Fashon,n/a,245967.5,10,13 Oct 2025,Ibadan,Oyo,NIGERIA,bank transfer,CANCELLED,,Highly recommend!!!
ORD126249,CUST042044,Blessing Johnson,blessing.johnson835@gmail.com,(262) 341-0356,Curtain Set,Home&Kitchen,3,"NGN 203,346.32",10,07/27/2023,Benin City,Edo,nigeria,BANK TRANSFER,shipped,,Not what I expected
ORD126369,CUST074764,  Robert Martin  ,robert.martin31@hotmail.com,08516499526,Bluetooth Speaker,Electronics,3,230582.23,5,05/16/2023,Dubai,Dubai,UAE,COD,DELIVERED,,product came late :(
ORD123183,CUST091870,Elizabeth Eze,elizabeth.eze@hotmail.com,+2344736392845,Baby Monitor,Baby Products,2,33230.42,20,20 Aug 2024,Los Angeles,NIL,U.S.A.,CREDIT CARD,DELIVERED,5,Waste of money
ORD114950,CUST052543,Jessica Chukwu,jessica.chukwu@hotmail.com,N/A,Men's T-Shirt,fashion,5,unknown,20,08/02/2023,Kaduna,Kaduna,NG,PayPal,PENDING,,
ORD124437,CUST007769,Richard Jackson,richard.jackson@gmail.com,+2348325670625,Handbag,fashion,6,226405.39,40,06/05/2024,Ibadan,Oyo,NIGERIA,PayPal,Processing,3,Waste of money
ORD111118,CUST018361,Tunde Eze,tunde.eze@hotmail.com,0356-673-9257,Cutlery Set,Home&Kitchen,1,128982.59,30,03/22/2026,Toronto,Ontario,Canada,ussd,PENDING,,Waste of money
ORD133293,CUST030302,Emeka Moore,emeka.moore@gmail.com,+2344105781189,Baby Monitor,Baby product,5,224987.73,39%,29-05-2025,Accra,Greater Accra,Ghana,Credit card ,Processing,2,<b>Excellent</b>
ORD131050,CUST001805,Ngozi Smith,ngozi.smith127@yahoo.com,+2341855284576,Men's T-Shirt,FASHION,1,$34905.91,,"November 18, 2025",Dubai,Dubai,U.A.E.,debit card,RETURNED,1,product came late :(
ORD102310,CUST069127,Aisha Adeyemi,aisha.adeyemi@hotmail.com,6027472096,Handbag,Fashion ,8,33157.58,50,"November 16, 2023",Johannesburg,Gauteng,South Africa,PayPal,processing,,
ORD125244,CUST038992,Kelechi Smith,kelechi.smith409@gmail.com,+2342088066962,Throw Pillow,HOME & KITCHEN,1,"NGN 237,619.42",30,15 Jul 2023,IBADAN,--,nigeria,paypal,SHIPPED,1,Not what I expected
ORD125767,CUST013889,Charles Martin,charles.martin@outlook.com,+2346006381551,Hair Extension,Beauty ,5,223325.37,126,12/01/2024,Abuja,FCT,Nigeria ,USSD,CANCELLED,1,meh
ORD115725,CUST030286,Amaka Smith,amaka.smith@gmail.com,(695) 532-9862,HDMI Cable,Electronics,9,"NGN 206,982.17",7%,"May 24, 2025",Johannesburg,Gauteng,South Africa,CREDIT CARD,returned,,average tbh
ORD126904,CUST055233,Ngozi Davis,ngozi.davis@yaho.com,0669-262-3651,Feeding Bottle,Baby Products,10,236995.97,,2025-06-30,Port Harcourt,Rivers,NG,credit card,CANCELLED,3,  Poor quality  
ORD101178,CUST042403,Linda Okonkwo,Unknown,+2340725505184,Electric Kettle,HOME & KITCHEN,null,196573.19,0,2024-08-18,IBADAN,Oyo,NG,ussd,DELIVERED,,
ORD128603,CUST116901,Fatima Garcia,fatima.garcia@gmial.com,(503) 275-7885,Sugar 1kg,Grocery,8,7424.88,30,03/28/2024,Kaduna,Kaduna,nigeria,Credit Card,cancelled,5,Fast delivery
ORD129849,CUST060696,James Miller,james.miller@hotmail.com,+2342030783182,Rug,Home&Kitchen,7706,24796.67,30,"September 21, 2024",Kaduna,Kaduna,nigeria,USSD,shipped,,Great product!
ORD102519,CUST007810,Jennifer Miller,jennifer.miller721@ymail.com,03321099820,Vegetable Oil 1L,Groceries ,3,"NGN 194,762.25",5,02 Dec 2025,Ibadan,Oyo,nigeria,CC,Processing,4,product came late :(
ORD100654,CUST087034,Blessing Jackson,blessing.jackson@gmail.com,05168392192,Honey 500ml,GROCERIES,7,30868.98,50,12/21/2023,Dubai,Dubai,United Arab Emirates,paypal,returned,3,  Poor quality  
ORD108019,CUST057652,Elizabeth Perez,elizabeth.perez@yaho.com,0638-092-7765,Curtain Set,HOME & KITCHEN,1,13049.53,,18 May 2025,Nairobi,Nairobi,KENYA,COD,Shipped,1,Waste of money
ORD107859,CUST096144,Patricia Chukwu,patricia.chukwu@outlook.com,01118028957,Blender,Home&Kitchen,6,247606.78,40,2026-05-12,LOS ANGELES,CA,U.S.A.,none,shipped,4,  Poor quality  
ORD125238,CUST084825,Barbara Jackson,barbara.jackson378@hotmail.com,n/a,Hair Extension,beauty,8511,66180.32,5,10/06/2024,Calabar,Cross River,nigeria,debit card,delivered,5,Fast delivery
ORD128218,CUST049126,Jessica Garcia,jessica.garcia@yahoo.com,1120715846,Sunglasses,Fashion,9,239138.14,149,2025-11-07, New York ,NY,U.S.A.,Pay Pal,delivered,,
ORD111424,CUST088797,Bola Thompson,bola.thompson@gmail.com,00802195864,Honey 500ml,Groceries ,4,"21,640.24",,20 Aug 2024,Toronto,Ontario,CANADA,Bank Transfer,pending,2,Fast delivery
ORD110655,CUST017471,David Johnson ,DAVID.JOHNSON@YAHOO.COM,0814-556-1206,USB-C Cable,Electronic,-3,85290.8,,2025-10-12,Port Harcourt,Rivers,NG,Credit card ,SHIPPED,2,Great product!
ORD121518,CUST012334,FEMI BELLO,femi.bello@hotmail.com,+2343787913187,USB-C Cable,ELECTRONICS,2,216930.73,,10/27/2023,New York,NY,USA,Pay Pal,Shipped,1,Fast delivery
ORD115582,CUST097118,YUSUF TAYLOR,yusuf.taylor793@gmail.com,1360404809,Rice 5kg Bag,Groceries ,two,17450.72,50,1773100800,None,Greater Accra,ghana,PayPal,SHIPPED,5,meh
ORD124964,CUST056737,Ngozi Thompson,ngozi.thompson@yaho.com,01724937913,Baby Powder,baby products,7,228315.45,,2024-02-21,London,England,UK,bank transfer,Processing,5,Great product!
ORD117497,CUST026683,James Okonkwo,james.okonkwo@ymail.com,7274025108,Ankara Fabric,fashion,3,247819.41,,26-04-2024,New York,NY,U.S.A.,PAYPAL,Deliverd,2,Fast delivery
ORD131743,CUST043791,Karen Thomas,karen.thomas@gmail.com,08901198195,Beans 2kg,Grocery,2,12840.77,30,06 Dec 2023,Lagos,Lagos,NG,PayPal,pending,4,WILL BUY AGAIN
ORD117503,CUST042852,Charles Adeyemi,charles.adeyemi@gmial.com,+2344290573119,Ankara Fabric,Fashion,6,67179.86,10,"March 10, 2026",Calabar,Cross River,Nigeria ,ussd,pending,,Not what I expected
ORD103679,CUST096343,aisha taylor,aisha.taylor@gmial.com,+2344098771259,Storage Container,Home and Kitchen,10,"NGN 110,504.35",50,2026-02-20,Enugu,Enugu,NG,PayPal,CANCELLED,5,Not what I expected
ORD129278,CUST060806,Richard Nwosu,richard.nwosu279@gmial.com,(147) 351-4285,Sneakers,Fashion ,7,98513.99,,1741478400,Toronto,Ontario,canada,Credit Card,cancelled,1,meh
ORD117747,CUST085384,Mary Martinez,mary.martinez981@gmial.com,+2345422797433,Laptop Sleeve,Electronic,6,$11153.71,,1760832000,Lagos,Lagos,Nigeria ,CREDIT CARD,RETURNED,3,<b>Excellent</b>
ORD101146,CUST051068,Karen Bello,karen.bello537@hotmail.com,+2349220161592,Smartwatch,electronics,7,208550.58,20,18 Jan 2023,Abuja,FCT,nigeria,Cash on Delivery,shipped,,
ORD124471,CUST084663,Blessing Anderson,blessing.anderson734@yaho.com,-,Shea Butter,Beauty,3,245284.67,,2026-07-07,Benin City,Edo,nigeria,Debit Card,Returned,2,
ORD116467,CUST020141,Richard Martin,richard.martin@outlook.com,03296779183,Feeding Bottle,BABY PRODUCTS,7,$216216.14,5,"March 04, 2024",BENIN CITY,Edo,NG,cash on delivery,returned,,  Poor quality  
ORD131512,CUST013412,David Moore,david.moore@hotmail.com,+2340359979740,Ankara Fabric,Fashon,10,226320.47,40,2024-11-07,Ibadan,Oyo,NG,PAYPAL,Returned,,
ORD106469,CUST108831,Chinedu Miller,chinedu.miller@yaho.com,1929100484,Smartphone Case, Electronics,1,None,,31-08-2026, Dubai ,Dubai,UAE,debit card,Pending,,Waste of money
ORD133772,CUST041816,DAVID PEREZ,david.perez@ymail.com,04762449579,Noodles Carton,Grocery,five,129215.26,0,07/06/2023,Abuja,,Nigeria ,PAYPAL,Deliverd,,WILL BUY AGAIN
ORD131560,CUST093794,Jessica Lee,jessica.lee@yahoo.com,0083-201-7817,Teething Ring,BABY PRODUCTS,9,-229247.13,25,-, Johannesburg ,--,SOUTH AFRICA,PayPal,Pending,,average tbh
ORD107910,CUST118081,JOHN RODRIGUEZ,john.rodriguez284@hotmail.com,0332-956-0959,Diaper Pack,Baby product,8,1744.53,30,"January 20, 2026",Ibadan,Oyo,Nigeria ,PAYPAL,RETURNED,1,Great product!
ORD120781,CUST016244,Aisha Williams,aisha.williams@gmail.com,+2349556621250,Diaper Pack,BABY PRODUCTS,7,41121.21,25,08 Apr 2023,Johannesburg,none,S. Africa,CREDIT CARD,cancelled,2,meh
ORD128284,CUST040742,Linda Williams,linda.williams@hotmail.com,+2343080712126,Leather Belt,fashion,2,69451.36,20,17-10-2024,Kano,Kano,NG,paypal,Pending,2,Fast delivery
ORD109890,CUST107192,"Garcia, Aisha",aisha.garcia70@yaho.com,+2341919866969,USB-C Cable,Electronics ,10,45627.84,,01-11-2023,Accra,Greater Accra,GHANA,cash on delivery,shipped,2,<b>Excellent</b>
ORD117882,CUST093262,Jennifer Mohammed,jennifer.mohammed@gmial.com,0627-960-5017,Wireless Earbuds,Electroincs,6,229597.07,5,09/16/2025,Johannesburg,Gauteng,SOUTH AFRICA,PayPal,DELIVERED,5,
ORD118888,CUST025141,barbara williams,barbara.williams@yahoo.com,+2349643520315,Sunscreen SPF50,BEAUTY,5,234318.37,20,1693267200,LAGOS,Lagos,Nigeria,PayPal,returned,5,<b>Excellent</b>
ORD100906,CUST057251,Yusuf Perez,yusuf.perez@yahoo.com,+2341380972663,Bluetooth Speaker,Electroincs,8,180535.68,20,"July 31, 2024",Nairobi,Nairobi,Kenya,USSD,Cancelled,4,Great product!
ORD100937,CUST027729,Michael Miller,michael.miller@yahoo.com,03285167524,Women's Dress,Fashion ,3,128165.32,25,12/19/2024,Benin City,Edo,Nigeria,Pay Pal,Cancelled,1,Waste of money
ORD114090,CUST039647,Adaeze Thompson,adaeze.thompson@outlook.com,08430282411,Smartwatch,Electronics,1,,5,18 Dec 2024,Enugu,Enugu,Nigeria ,Credit Card,Processing,,average tbh
ORD112549,CUST059933,John Jackson,john.jackson@ymail.com,+2340785818418,Wristwatch,fashion,10,33966.82,25,02/13/2024,New York,NY,U.S.A.,debit card,?,1,<b>Excellent</b>
ORD100010,CUST119913,PATRICIA NWOSU,patricia.nwosu@gmial.com,1637164736,Storage Container,home & kitchen,7,72105.75,30,09/19/2024,IBADAN,Oyo,Nigeria ,BANK TRANSFER,cancelled,,Highly recommend!!!
ORD121603,CUST010531,Blessing Taylor,blessing.taylor301@ymail.com,2933255795,Cutlery Set,HOME & KITCHEN,5,"NGN 57,570.40",,1780099200,Ugep,Cross River,Nigeria,COD,CANCELLED,,  Poor quality  
ORD133994,CUST010703,  Femi Wilson  ,femi.wilson179@yahoo.com,07701936387,Blender,Home & Kitchen,2,152126.29,,"January 07, 2024",Enugu,Enugu,nigeria,ussd,Deliverd,1,Fast delivery
ORD127833,CUST039579,Fatima Johnson,fatima.johnson757@yaho.com,+2340716155931,Wireless Mouse,ELECTRONICS,6,221149.39,10,15 Mar 2023,None,CA,U.S.A.,CREDIT CARD,Delivered,,Fast delivery
ORD101493,CUST033904,Mary Nwosu,NIL,04008268580,Makeup Brush Set,Beuaty,10,86571.09,25,2024-04-27,Kaduna,Kaduna,Nigeria,cash on delivery,Delivered,1,product came late :(
ORD113020,CUST098154,ifeoma jackson,ifeoma.jackson435@hotmail.com,+2343892188903,Spaghetti Pack,groceries,6,13912.43,178,2026-01-22,Kaduna,Kaduna,nigeria,CC,Cancelled,5,  Poor quality  
ORD126533,CUST087533,Chiamaka Abubakar,chiamaka.abubakar202@hotmail.com,+2342557480658,Baby Lotion,Baby Products ,8,171852.38,40,"April 20, 2025",Accra,Greater Accra,GHANA,CREDIT CARD,Delivered,3,Not what I expected
,CUST082352,aisha thompson,aisha.thompson@gmail.com,03392033619,Leather Belt,Fashion,7,171114.46,10,"February 10, 2023",Benin City,None,NG,CREDIT CARD,Delivered,,average tbh
ORD109117,CUST099423,Jessica Perez,jessica.perez32@hotmail.com,0257-170-0158,Sunglasses,fashion,2,62046.25,,03/30/2024,Kano,Kano,nigeria,Cash on Delivery,Shipped,5,Great product!
ORD112282,CUST029118,Linda Anderson,linda.anderson976@ymail.com,3601500448,Baby Lotion,baby products,4,97290.46,10,1778112000,Accra,Greater Accra,Ghana,ussd,PENDING,5,<b>Excellent</b>
ORD100318,CUST005718,Grace Thompson,grace.thompson@yahoo.com,0252-707-9809,Shea Butter,Beauty ,5,51776.91,40,2026-03-30,,FCT,NG,Cash on Delivery,cancelled,3,  Poor quality  
ORD123263,CUST109696,Mary Rodriguez,mary.rodriguez@ymail.com,(925) 972-3548,Handbag,Fashion,8,69063.87,40,28-05-2026,Los Angeles,CA,USA,BANK TRANSFER,returned,5,Not what I expected
ORD103386,CUST053248,  Elizabeth Wilson  ,elizabeth.wilson@gmail.com,0182-715-3169,Wristwatch,FASHION,1,55506.84,15,17 May 2026,Calabar,Cross River,Nigeria,Bank Transfer,processing,4,
ORD122640,CUST105921,Elizabeth Okafor,elizabeth.okafor@ymail.com,+2341583753889,Blender, Home & Kitchen,2893,99576.51,5,NIL,Benin City,Edo,nigeria,BANK TRANSFER,pending,1,WILL BUY AGAIN
ORD102470,CUST060480,William Chukwu,william.chukwu@hotmail.com,0286-313-5804,Women's Dress,Fashion,7,113274.99,,14-01-2023,Port Harcourt,Rivers,Nigeria ,debit card,cancelled,3,
ORD116598,CUST027618,JAMES BROWN,james.brown531@ymail.com,(755) 496-7153,Milk Powder,Grocery,2,none,20,02-05-2026,Benin City,Edo,nigeria,PayPal,SHIPPED,2,Not what I expected
ORD108768,CUST046517,CHARLES GARCIA,charles.garcia493@yaho.com,,Ankara Fabric,Fashion ,three,null,,02-12-2025,KANO,Kano,Nigeria,bank transfer,RETURNED,1,Highly recommend!!!
ORD110835,CUST015952,jennifer perez,jennifer.perez173@yaho.com,none,Rice 5kg Bag,Groceries,1,"NGN 186,660.93",25,08 Sep 2023,Benin City,Edo,nigeria,CC,returned,2,Not what I expected
ORD123187,CUST108623,  Fatima Jackson  ,fatima.jackson@outlook.com,3977139813,Leather Belt,FASHION,1,124002.35,30,2024-09-12,Los Angeles,CA,U.S.A.,credit card,Canceled,2,product came late :(
ORD125083,CUST016229,Michael Moore,michael.moore@outlook.com,(446) 286-2493,Baby Carrier,Baby Products ,8,60181.18,25,07/15/2023, Abuja ,FCT,NIGERIA,paypal,CANCELLED,4,meh
ORD126853,CUST039674,Mary Davis,MARY.DAVIS365@YAHOO.COM,2899630146,Sneakers,FASHION,8,110057.02,,12/24/2024,ACCRA,Greater Accra,Ghana,bank transfer,Processing,,Highly recommend!!!
ORD113549,CUST093880,John Okonkwo,Unknown,+2340909711807,Smartwatch,Electronic,9,233125.49,,"September 18, 2023",New York,NY,U.S.A.,Credit card ,Delivered,3,meh
ORD104253,CUST079571,Musa Okafor,musa.okafor@gmail.com,1211804960,Denim Jeans,FASHION,3,0,50,08/14/2026,Kano,Unknown,NIGERIA,Pay Pal,Cancelled,3,Fast delivery
ORD117813,CUST068883,Halima Moore,halima.moore671@hotmail.com,0690-735-5963,Rice 5kg Bag,Grocery,4,$177940.86,,1747008000,NULL,Kano,Nigeria,Cash on Delivery,pending,2,Waste of money
ORD130702,CUST073226,Michael Jackson,michael.jackson28@yaho.com,+2349630385202,Teething Ring,Baby Products,2,136458.23,30,01 Jan 2023,LONDON,England,uk,Credit Card,Pending,2,
ORD110103,CUST119174,SEGUN WILLIAMS,segun.williams128@hotmail.com,5549612971,Shampoo,BEAUTY,4,"145,748.08",10,07/28/2026,Nairobi,Nairobi,Kenya,Credit Card,Cancelled,,WILL BUY AGAIN
ORD132686,CUST102712,Richard Johnson,richard.johnson519@yahoo.com,03578997717,Garri 4kg,groceries,6,247155.44,30,1699142400,Kaduna,Kaduna,nigeria,Debit Card,pending,5,
ORD111048,CUST060775,Tunde Garcia,tunde.garcia631@outlook.com,0531-348-4327,Lipstick,Beauty,1,14385.58,0,11-04-2024,Ugep,Cross River,Nigeria,USSD,shipped,6,Waste of money
ORD131393,CUST036936,halima perez,halima.perez@yahoo.com,1772996759,Tomato Paste,Groceries ,6,186907.31,5,-,Kano,Kano,Nigeria,COD,Processing,,
ORD117258,CUST114990,Thomas Smith,thomas.smith@outlook.com,00176313641,Noodles Carton,groceries,2,"214,094.57",,"March 27, 2026",New York,n/a,U.S.A.,CC,Deliverd,2,Highly recommend!!!
ORD106206,CUST104650,Adaeze Martinez,adaeze.martinez@ymail.com,02449342864,Sugar 1kg,Groceries,7,248515.01,20,02/03/2023,Dubai,Dubai,U.A.E.,COD,Shipped,2,WILL BUY AGAIN
ORD120835,CUST011081,Tunde Martinez,tunde.martinez@hotmail.com,0063-491-6234,Baby Wipes,Baby product,10,42622.24,5,2023-08-05,Ibadan,Oyo,NG,debit card,SHIPPED,,Waste of money
ORD132174,CUST024147,Richard Brown,richard.brown8@gmail.com,0610-903-5934,Baby Monitor,Baby product,4,180015.19,50,NULL,Benin City,Edo,Nigeria ,credit card,CANCELLED,3,meh
ORD116863,CUST029845,william martinez,william.martinez@gmial.com,+2342060637134,HDMI Cable,Electroincs,5,113741.93,5,1787529600,New York,NIL,USA,USSD,DELIVERED,4,
ORD105610,CUST003843,Robert Williams,robert.williams761@gmail.com,(657) 609-9842,Sugar 1kg,groceries,7,75143.6,40,01/19/2024,Los Angeles,CA,U.S.A.,Credit card ,pending,4,
ORD107733,CUST098622,Barbara Lee,barbara.lee842@outlook.com,6475324654,Sunglasses,Fashon,7,186032.99,0,16 Oct 2023,Ugep,Cross River,NG,Debit Card,CANCELLED,,product came late :(
ORD129314,CUST083686,Musa Smith,musa.smith@ymail.com,+2343500733273,Teething Ring,baby products,1,-172140.58,30,28-02-2023,Los Angeles,CA,United States,bank transfer,pending,2,product came late :(
ORD122614,CUST083851,David Perez,david.perez@gmial.com,09336365521,Noodles Carton,groceries,9,54148.69,,05 Jul 2025,Toronto,Ontario,CANADA,Bank Transfer,Deliverd,5,  Poor quality  
ORD106166,CUST069849,Tunde Wilson,tunde.wilson@ymail.com,+2342347999820,Feeding Bottle,Baby Products,-2,149838.94,49%,1712188800,Nairobi,None,KENYA,Cash on Delivery,processing,2,
ORD129087,CUST089914,yusuf okonkwo,yusuf.okonkwo942@outlook.com,0614-473-3156,Sunscreen SPF50,Beauty,8,149427.57,26%,unknown,Kaduna,Kaduna,nigeria,cash on delivery,Deliverd,2,Great product!
